image_id,image_filename,country,source,category,contains_leaf,leaf_visibility,health_observable,usable_for_cropping,notes
BH_119,WhatsApp Image 2025-12-09 at 6.10.44 PM (1).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_120,WhatsApp Image 2025-12-09 at 6.10.44 PM.jpeg,Bahrain,local_research,B,yes,clear,yes,no,medium resolution
BH_121,WhatsApp Image 2025-12-09 at 6.10.45 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_122,WhatsApp Image 2025-12-09 at 6.10.45 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_123,WhatsApp Image 2025-12-09 at 6.10.45 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_124,WhatsApp Image 2025-12-09 at 6.10.46 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_125,WhatsApp Image 2025-12-09 at 6.10.47 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_126,WhatsApp Image 2025-12-09 at 6.10.47 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_127,WhatsApp Image 2025-12-09 at 6.10.47 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_128,WhatsApp Image 2025-12-09 at 6.10.48 PM (1).jpeg,Bahrain,local_research,B,yes,clear,yes,no,low resolution
BH_129,WhatsApp Image 2025-12-09 at 6.10.48 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_130,WhatsApp Image 2025-12-09 at 6.10.48 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_131,WhatsApp Image 2025-12-09 at 6.10.49 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_132,WhatsApp Image 2025-12-09 at 6.10.51 PM (1).jpeg,Bahrain,local_research,B,yes,clear,yes,no,low resolution
BH_133,WhatsApp Image 2025-12-09 at 6.10.56 PM.jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_134,WhatsApp Image 2025-12-09 at 6.10.51 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_135,WhatsApp Image 2025-12-09 at 6.10.51 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_136,WhatsApp Image 2025-12-09 at 6.10.53 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_137,WhatsApp Image 2025-12-09 at 6.10.53 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_138,WhatsApp Image 2025-12-09 at 6.10.53 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_139,WhatsApp Image 2025-12-09 at 6.10.54 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_140,WhatsApp Image 2025-12-09 at 6.10.54 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_141,WhatsApp Image 2025-12-09 at 6.10.54 PM (3).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_142,WhatsApp Image 2025-12-09 at 6.10.54 PM (4).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_143,WhatsApp Image 2025-12-09 at 6.10.54 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_144,WhatsApp Image 2025-12-09 at 6.10.55 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_145,WhatsApp Image 2025-12-09 at 6.10.55 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_146,WhatsApp Image 2025-12-09 at 6.10.55 PM (3).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_147,WhatsApp Image 2025-12-09 at 6.10.55 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_148,WhatsApp Image 2025-12-09 at 6.10.56 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_149,WhatsApp Image 2025-12-09 at 6.10.56 PM (2).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_150,WhatsApp Image 2025-12-09 at 6.10.56 PM (3).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_151,WhatsApp Image 2025-12-09 at 6.10.57 PM (1).jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_152,WhatsApp Image 2025-12-09 at 6.10.57 PM.jpeg,Bahrain,local_research,C,yes,clear,no,no,"low resolution, far distance"
BH_153,20251227_092616.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
BH_154,20251227_092603.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
BH_155,20251227_092316.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
